nd ,Gender,Country,Age,Income,Marital-Stat5,workclass,credit-score,Learning,Tenure,Balance,Products,Education,Occupation,Target
103,0,0,32,50000,1,0,44751,4,4,101500,3,1,0,0
104,0,0,33,180000,0,2,4160,3,3,107817,2,2,2,0
105,0,1,44,30000,1,0,25957,4,6,103400,5,0,1,0
106,1,0,40,90000,1,0,42856,4,4,103114,2,2,2,1
107,0,2,30,220000,0,0,22959,4,4,120066,3,2,2,0
108,0,2,25,170000,0,0,8046,4,4,101085,2,1,0,0
109,0,0,48,290000,1,1,292907,5,4,100000,3,1,0,1
110,0,3,22,30000,0,0,13738,4,4,104000,-1,1,0,0
111,1,2,31,360000,0,0,81740,4,4,108000,-1,1,0,0
112,1,2,51,500000,1,2,8030,3,3,113156,-1,2,0,0
113,0,0,25,360000,0,0,354626,4,4,114000,3,1,0,1
114,1,0,46,170000,1,0,94791,4,4,104300,3,1,0,1
115,0,1,47,170000,0,2,16089,3,3,105455,2,2,2,0
116,1,0,40,10000,0,0,9649,4,4,101500,3,1,0,1
117,0,2,25,30000,0,1,29628,-1,6,101600,5,1,0,0
118,0,1,24,80000,0,1,12098,-1,6,100000,6,0,1,0
119,1,2,28,120000,0,0,8922,3,4,135000,3,1,0,1
120,1,0,29,80000,1,3,12237,8,6,100000,5,0,1,1
121,1,0,32,470000,0,2,19419,3,3,111070,2,1,0,0
122,1,1,50,70000,1,0,68725,4,4,103220,3,1,0,0
123,0,0,25,30000,0,0,24458,-1,4,105000,3,1,0,0
124,0,3,48,40000,1,0,37896,4,4,103292,3,1,0,0
125,1,1,40,200000,0,2,316,3,3,100316,2,2,2,1
126,0,2,26,150000,0,2,15079,3,3,105018,2,2,2,0
127,1,0,44,220000,1,0,217743,4,4,107000,3,1,0,0
128,1,2,44,20000,1,0,18091,4,4,101600,3,1,0,1
129,0,0,36,260000,1,0,200593,-1,4,108500,3,1,0,1
130,1,1,44,20000,1,0,18467,4,4,101328,3,1,0,0
131,0,0,27,490000,0,0,222705,4,4,105011,3,1,2,0
132,1,1,65,80000,1,0,25043,4,4,101374,2,2,2,0
133,0,0,30,60000,0,0,10809,4,4,103160,3,1,0,0
134,0,3,52,160000,1,0,202638,4,4,107638,3,1,0,0
135,0,0,37,240000,1,0,51277,4,4,110006,3,2,0,0
136,0,0,23,50000,1,0,50859,4,4,101965,3,1,0,0
137,0,1,29,190000,0,0,132669,4,4,106000,3,1,3,0
138,0,1,36,60000,1,1,57285,5,6,105336,5,1,0,1
139,0,0,43,80000,1,0,71100,4,4,110000,3,1,0,0
140,1,0,23,110000,0,0,43027,4,4,102000,5,0,1,0
141,0,1,38,120000,1,0,117738,4,4,105820,3,1,0,0
142,1,1,37,140000,1,2,13806,3,3,101003,-1,2,2,1
143,1,2,28,60000,0,0,18996,4,4,102120,-1,0,0,1
144,0,0,26,70000,0,0,105338,4,4,103600,-1,1,0,0
145,1,1,40,240000,0,0,245311,4,4,108491,-1,1,0,0
146,1,0,44,200000,0,2,541,3,3,100541,-1,2,2,0
147,0,0,33,10000,0,0,15004,4,4,102452,3,1,2,1
148,0,1,31,200000,0,2,2126,3,4,199787,3,1,1,0
149,0,0,30,260000,0,2,165,3,3,100165,2,2,2,0
150,0,1,41,80000,3,0,69964,4,4,103082,3,1,0,0
151,0,2,36,150000,1,2,13447,3,3,117914,2,2,2,0
152,0,0,34,100000,1,1,246,3,6,100123,2,2,2,1
153,1,2,28,100000,0,0,97032,4,4,105341,3,1,0,0
154,0,0,38,80000,1,4,0,2,2,100000,1,3,2,0
155,0,0,31,300000,1,2,3863,3,3,105021,2,2,2,0
156,1,0,26,220000,0,1,215477,6,6,105516,5,0,0,0
157,1,5,30,360000,0,0,40250,4,3,123000,-1,1,2,0
158,0,1,49,250000,1,4,632,2,2,100000,1,3,3,1
159,0,1,26,70000,1,0,71832,6,4,103275,-1,1,0,0
160,1,2,53,210000,1,2,6060,3,3,105983,2,2,2,0
161,0,1,49,50000,1,0,33782,4,3,104000,2,2,2,1
162,0,0,40,170000,1,0,134496,4,4,117400,3,1,0,0
163,0,1,34,70000,1,1,76023,5,4,100000,3,1,0,0
164,1,1,43,80000,0,1,76292,-1,4,103006,3,2,2,0
165,0,1,44,110000,1,0,13348,-1,4,167431,3,1,0,1
166,1,2,51,500000,1,4,10063,2,2,110395,1,3,3,0
167,1,2,31,180000,0,2,6383,3,3,103200,2,2,2,0
168,0,2,45,480000,1,0,17976,3,3,101008,-1,2,2,0
169,0,0,33,440000,1,0,411970,4,4,115003,5,1,0,0
170,0,0,30,160000,0,0,136053,4,4,103528,3,1,0,0
171,0,0,51,380000,1,4,0,5,2,100000,1,2,2,0
172,0,2,31,200000,1,2,1203,3,2,100000,1,2,2,0
173,1,2,27,240000,0,0,2961,4,4,102000,3,2,1,0
174,0,0,48,80000,0,0,60261,4,4,102234,5,1,0,0
175,1,0,30,160000,0,0,155967,4,4,107541,3,1,0,0
176,0,2,37,470000,1,0,163000,4,4,110047,3,1,0,0
177,1,1,31,50000,0,2,44461,3,3,101000,1,3,3,1
178,0,0,23,150000,0,0,167317,4,4,110000,3,1,0,0
179,1,1,49,50000,1,0,49331,4,4,102000,3,1,0,1
180,1,2,54,150000,1,2,4015,-1,3,100501,1,3,3,1
181,0,0,40,230000,1,4,0,2,2,100000,1,3,3,0
182,1,1,61,230000,1,4,0,5,2,100000,1,3,3,1
183,0,0,38,100000,1,1,14483,5,4,100000,3,0,0,1
184,0,0,25,90000,1,0,58502,4,4,103043,3,1,0,0
185,0,2,37,110000,1,0,14519,-1,6,103536,3,1,0,0
186,1,2,27,70000,0,0,2219,4,2,100000,1,3,2,0
187,0,0,27,130000,0,0,18776,4,4,103000,3,1,0,0
188,0,2,31,450000,0,2,12818,3,3,117577,2,1,0,0
189,0,1,41,100000,1,1,77208,5,4,100000,3,1,0,0
190,0,1,41,20000,2,4,2795,2,2,100941,1,3,3,0
191,0,2,28,500000,0,0,229258,4,4,110042,3,1,0,0
192,0,0,25,130000,0,0,128976,4,4,107100,3,1,0,0
193,1,1,33,200000,0,4,2810,2,2,107149,1,2,2,0
194,0,0,30,160000,0,2,584,-1,3,104572,2,2,2,0
195,0,0,38,200000,1,2,780,3,3,100000,2,2,2,0
196,1,0,33,20000,1,1,18139,5,4,100000,3,4,1,1
197,1,0,27,110000,1,1,46657,5,6,103000,5,0,1,0
198,1,2,29,360000,0,4,0,5,3,100000,2,3,3,0
199,1,2,30,500000,1,2,6049,-1,3,102500,-1,3,3,0
200,1,1,50,70000,1,3,56781,6,6,100002,5,0,0,1
201,0,0,39,50000,1,0,30049,4,4,101800,3,1,0,0
202,1,2,32,320000,0,1,752,3,3,100000,2,3,3,1
203,0,2,27,230000,0,0,79108,4,4,103187,5,1,0,0
204,0,0,41,120000,1,2,4591,3,3,100000,2,1,0,0
205,0,1,29,250000,0,4,686,2,3,100000,2,2,2,0
206,1,0,52,210000,0,4,5649,2,2,105425,1,3,2,0
207,0,2,30,150000,2,4,50,2,2,108589,-1,3,3,0
208,0,2,23,20000,0,0,23809,4,4,101700,3,0,0,0
209,1,2,25,30000,0,0,29108,4,4,101800,3,1,0,1
210,0,2,22,10000,0,3,8352,5,6,100000,5,0,1,0
211,1,0,25,50000,1,0,42238,-1,4,101807,3,1,0,1
212,0,2,24,30000,0,0,28049,4,4,102000,3,1,0,0
213,0,0,37,60000,1,0,38670,4,4,101606,3,1,0,0
214,1,0,26,20000,0,1,8476,5,6,102000,3,1,1,1
215,0,0,36,70000,0,1,1156,3,6,102044,5,0,1,1
216,0,2,28,200000,0,2,18134,3,3,118410,2,2,2,0
217,1,0,28,500000,0,0,33758,4,4,101626,3,1,0,0
218,0,0,39,20000,1,1,17751,5,6,101800,3,1,0,0
219,0,2,43,250000,1,4,331,2,2,100000,1,3,3,0
220,1,0,28,50000,0,0,23244,4,4,101500,3,1,0,0
221,0,0,35,180000,1,0,8694,4,4,101500,3,1,0,0
222,0,0,50,130000,1,1,73621,6,6,104300,5,0,1,0
223,0,0,58,100000,1,1,87851,6,4,100000,3,1,0,1
224,1,0,42,350000,0,0,347790,-1,4,113000,-1,1,0,1
225,1,2,38,160000,1,2,0,5,3,100499,1,3,3,0
226,1,0,26,210000,0,0,9358,4,2,100000,1,2,1,0
227,0,0,25,60000,0,0,75932,4,4,103121,3,1,0,1
228,0,0,23,80000,1,0,54600,4,4,103300,-1,1,3,0
229,0,1,46,30000,1,1,29201,5,6,102000,5,0,1,1
230,0,1,48,130000,1,0,46206,4,4,103000,3,1,0,0
231,1,0,31,350000,0,0,360347,4,4,113100,3,1,0,0
232,1,2,39,240000,1,4,-18,5,2,100000,1,3,3,0
233,0,2,35,210000,0,4,552,2,2,100000,1,3,3,0
234,1,1,47,270000,1,0,161999,4,4,106000,3,1,0,0
235,0,0,30,120000,1,2,686,3,3,100686,2,1,2,0
236,0,1,47,20000,1,0,8152,4,4,101125,2,2,3,0
237,0,2,54,450000,1,4,2500,2,2,100000,-1,3,3,0
238,0,2,21,20000,0,0,2798,4,3,102000,2,2,0,0
239,0,2,29,240000,1,0,41923,4,4,101779,2,1,0,0
240,0,1,31,110000,0,2,2705,4,3,102487,2,2,3,0
241,0,2,27,180000,0,0,101489,-1,4,110006,3,1,0,0
242,1,0,34,140000,1,0,70649,4,4,103100,3,1,0,0
243,0,0,24,20000,0,0,2968,6,4,101223,3,1,4,1
244,1,2,33,200000,0,2,12202,-1,3,104994,3,2,2,0
245,1,0,40,150000,1,0,172935,4,4,135749,3,1,0,0
246,0,0,26,20000,0,4,0,5,3,100000,3,1,0,0
247,1,0,27,90000,1,0,70482,4,4,102580,3,1,0,0
248,0,2,25,140000,0,0,52196,4,4,102000,3,1,0,0
249,0,0,24,200000,0,0,19326,4,4,101330,3,1,3,0
250,0,2,27,210000,0,0,16186,4,4,101300,3,1,0,0
251,1,2,33,180000,0,0,3060,4,4,101000,5,1,0,0
252,0,0,30,230000,1,2,6294,3,3,101945,-1,1,2,0
253,1,0,26,170000,0,0,7228,4,4,101200,2,2,2,0
254,0,2,31,220000,1,0,67722,4,4,107500,-1,1,0,0
255,1,0,33,30000,1,0,34914,4,4,101000,1,3,3,0
256,0,0,22,100000,1,0,100192,4,4,103000,-1,1,0,0
257,1,0,27,150000,0,0,134492,-1,4,106000,-1,1,0,0
258,1,2,38,210000,1,0,81582,4,4,104000,1,3,3,0
259,0,0,40,350000,0,4,26774,2,2,122181,1,3,3,0
260,0,0,32,200000,1,0,11191,-1,4,106002,3,1,2,0
261,0,0,26,240000,0,2,2335,3,3,102335,2,2,3,0
262,0,2,28,50000,0,1,31336,6,6,101500,5,0,1,0
263,1,2,26,360000,0,0,7127,4,3,101034,2,2,2,0
264,0,0,42,50000,1,0,27901,4,4,101770,3,1,0,0
265,0,2,44,250000,0,2,891,3,2,100000,-1,2,2,0
266,1,2,38,200000,1,2,6186,3,3,100735,2,2,2,1
267,0,0,52,30000,1,1,7033,6,6,103700,3,1,0,1
268,0,0,36,250000,0,2,396,3,3,100396,2,2,2,0
269,1,1,38,80000,0,0,7790,4,4,101467,3,1,0,0
270,0,2,38,220000,1,0,4438,4,4,103000,3,1,0,0
271,0,1,50,80000,1,0,55070,4,4,105012,2,2,2,0
272,0,2,24,40000,0,1,780,3,3,100000,2,1,2,1
273,0,0,43,170000,1,0,51054,4,4,102489,3,1,0,0
274,0,0,48,140000,1,2,1154,4,3,101233,2,2,2,0
275,0,4,37,110000,1,0,70204,4,4,102745,-1,1,0,0
276,0,0,24,50000,0,0,48690,6,4,102078,3,1,0,1
277,0,0,37,220000,0,4,2662,2,2,101918,1,3,3,0
278,1,2,42,350000,1,2,3800,3,3,103138,2,2,2,0
279,0,2,32,250000,0,0,26465,4,4,105000,3,1,0,0
280,1,0,39,110000,1,0,49464,4,4,103007,3,1,0,0
281,1,1,38,60000,0,2,3059,4,3,100291,2,2,2,0
282,0,2,36,310000,0,0,67940,4,4,102000,3,1,0,0
283,0,1,45,20000,0,2,390,3,3,100350,2,2,0,0
284,0,1,35,30000,1,0,28852,6,4,101700,3,1,0,1
285,0,1,49,230000,1,0,224985,4,4,110000,3,1,0,0
286,0,2,31,210000,0,2,15332,3,3,110000,-1,1,2,0
287,0,1,43,50000,2,0,31199,4,4,112009,3,1,0,0
288,0,0,40,310000,1,0,180225,4,4,110000,3,1,0,0
289,1,2,33,310000,1,4,0,2,2,100000,1,3,3,0
290,1,2,22,20000,0,1,19438,5,6,101700,3,1,0,1
291,1,2,41,290000,0,0,275367,-1,4,110580,3,1,0,0
292,1,0,43,50000,0,0,47669,4,4,102000,3,1,0,0
293,0,1,43,180000,1,2,0,5,3,102602,2,2,2,1
294,1,0,50,80000,1,0,72269,4,4,104000,3,1,0,0
295,0,1,58,270000,1,4,936,2,2,101188,-1,3,3,0
296,1,2,35,290000,0,0,247280,4,4,130000,-1,1,0,0
297,0,2,28,120000,0,2,0,5,6,101170,5,2,2,0
298,0,0,28,330000,1,0,225079,4,4,110000,3,0,1,0
299,1,2,38,80000,0,1,67046,5,6,103100,5,0,1,1
300,0,2,36,160000,1,2,1714,3,4,102845,2,2,2,0
301,0,0,41,230000,1,2,819,3,3,118163,2,2,2,0
302,1,2,27,180000,0,2,2658,3,3,102014,2,2,2,1
303,0,2,31,270000,1,0,86716,4,4,106000,3,1,0,0
304,0,1,33,280000,1,0,75953,4,6,109348,5,0,1,1
305,1,0,59,50000,1,0,47069,4,4,102169,3,1,0,0
306,1,2,29,200000,0,2,8099,2,3,103447,2,2,2,0
307,1,0,54,130000,0,0,30184,4,4,102419,3,3,3,0
308,0,0,58,50000,1,0,50182,4,4,101500,3,1,0,0
309,0,1,37,300000,1,0,85405,4,4,103479,3,1,0,0
310,0,2,27,100000,1,1,77346,5,4,100000,3,1,0,1
311,1,1,32,80000,0,0,71375,-1,4,101414,3,1,0,0
312,0,0,38,140000,0,0,141453,4,4,108000,3,1,1,0
313,0,0,43,300000,0,4,499,5,2,100000,2,2,2,0
314,0,1,43,110000,1,0,48796,-1,4,102350,3,1,0,0
315,0,1,26,180000,0,1,1728,-1,3,100000,5,0,3,0
316,0,0,39,320000,1,2,42442,3,3,103336,2,2,0,0
317,0,2,29,110000,1,2,3261,3,3,101380,2,1,2,0
318,0,0,37,40000,1,1,25561,-1,6,101500,5,0,0,1
319,0,2,27,180000,0,2,0,5,3,103338,2,2,2,0
320,1,2,39,150000,1,0,65627,4,4,102982,3,1,0,0
321,1,0,32,140000,1,0,86627,4,4,103455,3,0,0,0
322,0,0,24,50000,0,1,2400,6,11,100000,-1,5,6,1
323,1,2,39,50000,0,3,65766,7,6,100000,5,0,3,0
324,1,0,35,260000,0,0,493411,4,4,112325,3,1,0,1
325,0,0,27,150000,0,0,89302,4,4,104200,5,1,0,0
326,0,1,55,100000,1,3,1520,6,6,100000,2,4,1,0
327,1,2,28,130000,0,0,91092,4,4,105000,3,1,3,0
328,0,0,38,140000,0,0,135034,4,4,104729,3,1,0,0
329,0,0,30,490000,1,0,26088,4,4,102003,3,1,2,0
330,1,2,37,500000,1,1,507062,5,4,100325,3,1,0,0
331,1,0,47,30000,0,2,396,3,3,100396,2,1,2,0
332,1,0,33,50000,0,0,50094,4,4,102479,3,1,0,0
333,1,0,25,80000,0,1,79977,7,4,100000,3,2,2,0
334,1,1,55,30000,1,1,9720,6,6,101200,6,4,5,1
335,0,0,31,80000,0,0,30911,6,4,102009,3,1,0,1
336,1,2,27,360000,0,0,375392,4,4,113290,3,1,0,0
337,1,2,41,140000,1,2,4523,3,3,112171,1,3,2,0
338,0,2,28,260000,0,0,63504,4,4,104000,3,1,0,0
339,1,0,26,70000,1,0,18757,-1,4,101625,3,1,0,0
340,0,0,27,160000,0,2,0,5,3,100418,1,3,3,1
341,1,0,35,50000,0,1,150,7,6,100000,5,0,2,0
342,0,2,30,50000,0,4,0,2,2,102070,1,3,3,0
343,0,0,27,80000,1,4,390,2,2,100390,-1,3,3,0
344,1,0,33,120000,1,2,1336,3,3,100000,2,2,2,0
345,0,1,23,30000,0,0,33171,4,4,101524,3,1,0,0
346,1,0,41,140000,0,4,-10,2,3,100000,2,3,3,0
347,0,1,38,360000,0,2,-507,5,3,101502,3,1,0,0
348,1,0,28,50000,0,0,14091,6,4,101200,5,1,0,1
349,0,1,54,30000,1,1,23498,6,6,103600,3,1,1,1
350,0,0,28,130000,1,1,135805,6,4,100075,3,1,0,0
351,0,2,22,10000,0,0,7302,4,4,101330,3,1,0,0
352,1,0,34,120000,0,0,49206,4,4,102000,5,0,1,0
353,0,3,27,80000,0,0,45268,4,4,102600,3,1,0,0
354,0,0,31,50000,1,0,48509,4,4,103310,3,1,0,0
355,0,4,34,230000,0,0,2223,-1,4,101000,-1,2,2,0
356,1,0,55,20000,1,0,10301,4,6,102750,3,1,1,1
357,0,1,42,50000,1,0,44332,4,4,108802,-1,1,0,0
358,1,1,25,10000,0,0,4693,6,4,101300,3,1,3,1
359,0,0,43,140000,1,1,90632,6,4,100000,3,1,0,1
360,1,2,35,360000,0,2,2010,3,3,102936,2,3,2,0
361,1,2,48,220000,0,0,113061,4,4,105600,3,0,0,0
362,0,1,39,80000,1,0,4948,4,4,101000,-1,2,2,0
363,1,0,42,90000,1,1,95773,6,6,104000,5,0,0,0
364,0,0,38,300000,1,2,5848,3,3,124718,2,1,0,0
365,1,1,51,20000,1,2,2300,3,2,100000,1,3,3,1
366,0,2,34,120000,0,2,882,3,4,106900,2,2,2,0
367,1,2,39,500000,0,0,128068,-1,4,120000,3,2,2,0
368,0,0,29,240000,1,0,21909,4,4,102420,3,1,0,0
369,0,0,42,260000,1,0,50060,4,4,105000,3,1,1,0
370,1,0,29,100000,0,0,65324,4,4,102106,1,3,3,0
371,1,0,39,210000,1,2,600,3,3,100169,-1,1,0,1
372,1,1,38,30000,0,1,30771,5,4,100000,3,1,0,0
373,0,1,32,20000,2,0,19446,4,4,102000,1,3,2,0
374,0,1,50,60000,1,2,2811,3,3,100297,2,2,2,1
375,0,2,32,200000,1,0,12367,-1,3,102000,2,3,3,0
376,1,0,44,50000,0,0,27560,4,4,101159,3,1,0,0
377,0,0,32,500000,0,0,33763,4,4,110000,3,0,0,0
378,1,0,30,50000,0,0,50507,4,4,104000,3,1,0,0
379,1,0,34,150000,0,0,135587,4,4,104000,3,1,0,0
380,0,0,35,90000,1,0,82164,4,4,102926,3,1,0,0
381,1,2,34,300000,1,0,1257,4,4,105600,3,1,0,0
382,0,2,39,240000,1,4,0,5,2,100000,1,3,3,0
383,0,2,42,230000,1,4,6087,5,2,116050,1,3,3,0
384,0,0,47,50000,1,0,10992,6,4,101540,5,0,1,1
385,0,2,31,200000,0,1,2500,3,6,100000,1,3,3,1
386,0,2,36,180000,1,4,2846,2,2,102092,-1,3,3,0
387,0,1,25,130000,1,0,24885,4,4,101740,3,1,2,0
388,1,2,41,160000,1,4,155458,2,3,107200,2,3,2,0
389,1,0,23,30000,0,0,27275,4,4,102000,3,1,0,0
390,0,2,37,340000,0,0,334125,4,4,113562,3,1,0,0
391,1,1,27,60000,0,0,37170,4,4,102000,3,1,0,0
392,0,2,31,200000,0,4,6024,2,2,102180,1,3,3,0
393,1,2,39,270000,1,4,10648,2,2,100000,1,2,2,0
394,1,0,27,180000,1,0,181219,4,4,107000,-1,1,0,0
395,1,0,32,10000,0,0,9576,4,4,101384,3,1,0,0
396,1,2,36,500000,0,4,45106,2,2,181690,1,3,3,1
397,1,0,29,80000,0,2,28175,3,3,100000,-1,1,0,0
398,0,1,44,130000,1,0,40331,4,4,105000,3,1,0,0
399,0,0,34,80000,1,0,78688,-1,4,104000,3,2,0,0
400,1,1,36,200000,1,2,5308,-1,3,103981,2,2,2,0
401,0,0,29,50000,0,0,49793,4,4,101866,3,1,0,0
402,1,1,26,50000,0,0,50419,4,4,101000,1,3,3,1
403,1,2,36,130000,0,1,128190,5,6,106500,5,1,0,0
404,0,0,42,130000,0,0,42946,4,4,101676,3,1,0,0
405,1,1,48,30000,1,0,29434,4,4,101465,3,1,0,0
406,0,0,27,150000,0,4,0,5,2,100000,1,2,2,0
407,1,1,34,380000,1,2,4539,-1,3,104131,2,2,2,0
408,0,0,35,360000,0,1,360023,6,6,114693,3,1,0,1
409,0,1,48,230000,2,0,41134,4,4,110000,-1,1,0,0
410,0,2,33,210000,0,2,591,-1,3,101053,-1,2,2,0
411,1,0,34,50000,2,0,48538,4,4,103000,3,1,0,0
412,1,0,31,50000,0,0,8673,4,4,105011,2,1,0,0
413,1,2,43,500000,1,2,14132,3,6,135820,2,2,0,0
414,0,0,53,30000,1,0,26891,4,4,102000,3,1,0,0
415,0,0,26,100000,1,0,95087,-1,4,103965,5,1,0,1
416,1,2,48,340000,1,0,321046,4,4,113690,3,1,0,0
417,1,2,37,200000,1,2,2896,3,4,110720,3,1,0,1
418,0,1,53,50000,1,1,51254,5,4,100000,3,1,0,0
